gysz;Megrendelésszám;Gyáriszám;Megnevezés ;Cikkszám;GYÉv
816735;4570000557;1200816735;G4_FLOG_RF1_MEMB_05;G00018;2012
816821;4570000557;1200816821;G4_FLOG_RF1_MEMB_05;G00018;2012
817035;4570000557;1200817035;G4_FLOG_RF1_MEMB_05;G00018;2012
817124;4570000557;1200817124;G4_FLOG_RF1_MEMB_05;G00018;2012
817243;4570000557;1200817243;G4_FLOG_RF1_MEMB_05;G00018;2012
817292;4570000557;1200817292;G4_FLOG_RF1_MEMB_05;G00018;2012
817362;4570000557;1200817362;G4_FLOG_RF1_MEMB_05;G00018;2012
817388;4570000557;1200817388;G4_FLOG_RF1_MEMB_05;G00018;2012
817446;4570000557;1200817446;G4_FLOG_RF1_MEMB_05;G00018;2012
817573;4570000557;1200817573;G4_FLOG_RF1_MEMB_05;G00018;2012
817776;4570000557;1200817776;G4_FLOG_RF1_MEMB_05;G00018;2012
817796;4570000557;1200817796;G4_FLOG_RF1_MEMB_05;G00018;2012
817857;4570000557;1200817857;G4_FLOG_RF1_MEMB_05;G00018;2012
818064;4570000557;1200818064;G4_FLOG_RF1_MEMB_05;G00018;2012
818265;4570000557;1200818265;G4_FLOG_RF1_MEMB_05;G00018;2012
818703;4570000557;1200818703;G4_FLOG_RF1_MEMB_05;G00018;2012
819882;4570000557;1200819882;G4_FLOG_RF1_MEMB_05;G00018;2012
820067;4570000557;1200820067;G4_FLOG_RF1_MEMB_05;G00018;2012
820636;4570000557;1200820636;G4_FLOG_RF1_MEMB_05;G00018;2012
820760;4570000557;1200820760;G4_FLOG_RF1_MEMB_05;G00018;2012
820818;4570000557;1200820818;G4_FLOG_RF1_MEMB_05;G00018;2012
820820;4570000557;1200820820;G4_FLOG_RF1_MEMB_05;G00018;2012
820859;4570000557;1200820859;G4_FLOG_RF1_MEMB_05;G00018;2012
821345;4570000557;1200821345;G4_FLOG_RF1_MEMB_05;G00018;2012
821455;4570000557;1200821455;G4_FLOG_RF1_MEMB_05;G00018;2012
821726;4570000557;1200821726;G4_FLOG_RF1_MEMB_05;G00018;2012
821760;4570000557;1200821760;G4_FLOG_RF1_MEMB_05;G00018;2012
821811;4570000557;1200821811;G4_FLOG_RF1_MEMB_05;G00018;2012
821831;4570000557;1200821831;G4_FLOG_RF1_MEMB_05;G00018;2012
822630;4570000557;1200822630;G4_FLOG_RF1_MEMB_05;G00018;2012
822807;4570000557;1200822807;G4_FLOG_RF1_MEMB_05;G00018;2012
823084;4570000557;1200823084;G4_FLOG_RF1_MEMB_05;G00018;2012
